nr	bf01	bf02	bf03	bf04	bf05	bf06	bf07	bf08	bf09	bf10	bf11	bf12	bf13	bf14	bf15	bf16	bf17	bf18	bf19	bf20	sex	alter	nation	schule
211	4	5	2	3	4	5	1	4	4	4	4	3	4	3	5	4	3	4	3	2	2	25	1	3
212	3	4	5	4	4	4	5	4	4	5	5	2	3	4	4	2	5	4	4	5	2	23	1	3
213	3	4	4	2	3	5	4	5	3	4	5	5	4	3	5	3	5	3	4	3	2	20	1	3
214	3	5	2	5	3	3	2	5	3	4	4	3	4	4	5	4	4	2	2	2	1	20	1	3
215	2	4	2	4	4	5	2	5	4	4	3	2	2	3	4	3	2	3	5	3	2	22	1	3
216	5	4	2	5	4	4	2	3	4	5	4	4	4	3	4	4	4	4	5	3	1	20	1	3
217	2	4	1	3	4	2	1	1	5	4	4	4	3	3	2	3	3	4	2	4	2	21	1	3
218	3	3	2	4	4	4	3	5	4	4	4	3	3	4	4	3	4	4	2	4	2	23	1	3
219	5	5	2	2	3	5	3	4	3	4	3	1	4	3	3	4	5	3	4	3	2	27	9	3
220	4	5	4	5	5	4	4	5	5	4	5	3	4	4	5	4	5	4	4	5	1	22	1	3
221	4	5	3	2	4	4	3	5	3	4	4	3	3	4	4	3	4	3	3	4	2	23	1	3
222	5	5	5	5	5	5	5	5	5	5	5	2	3	5	5	2	5	4	4	5	1	32	1	3
223	3	4	4	4	4	4	4	4	4	4	4	3	3	3	4	3	4	4	3	4	1	19	1	3
224	3	4	4	4	4	4	3	4	4	5	5	1	3	4	5	3	5	3	1	3	1	23	1	3
225	5	5	4	5	3	4	4	5	3	5	5	5	4	3	4	4	5	4	4	3	1	23	1	3
226	3	4	3	3	3	3	3	4	4	3	4	4	2	4	4	1	4	4	2	3	2	24	1	3
227	4	4	3	5	2	4	3	4	3	5	4	3	2	1	5	2	5	2	5	5	1	22	1	3
229	4	4	3	4	4	4	3	5	4	5	4	3	4	4	4	4	5	4	5	3	1	26	1	3
230	5	4	3	2	4	3	5	4	4	5	4	4	4	3	4	3	4	4	4	3	1	31	15	-99
231	3	4	5	4	4	4	5	4	4	3	5	1	2	4	5	1	4	3	4	5	2	23	1	3
232	5	4	3	5	3	5	3	5	3	4	4	5	3	3	4	3	4	3	5	3	1	21	1	3
233	5	4	3	5	3	5	3	5	3	4	5	2	4	4	4	4	5	4	3	3	1	19	1	3
234	5	4	4	4	5	5	3	3	5	4	5	4	5	5	4	4	5	5	2	4	2	23	1	3
235	5	5	4	5	4	4	4	2	4	4	4	5	5	3	5	5	5	4	3	3	1	24	1	3
236	4	2	3	4	4	5	4	3	3	5	4	5	5	4	4	3	4	3	5	4	2	27	1	3
237	5	4	3	3	4	5	2	3	4	1	4	2	5	4	4	5	4	3	3	2	2	20	1	3
238	4	4	3	4	3	4	3	4	3	4	5	3	3	3	5	3	4	3	3	2	1	27	1	3
239	5	4	2	4	3	4	2	5	3	5	4	1	4	3	5	4	5	3	1	3	1	25	1	3
240	4	4	3	4	5	4	3	4	4	4	5	2	3	4	4	3	3	3	4	3	2	31	1	3
241	4	4	2	2	2	4	2	2	2	2	4	2	4	2	4	4	3	3	2	3	1	24	1	3
242	3	3	4	4	4	3	4	3	4	2	4	3	4	4	4	4	4	3	3	3	1	24	1	3
243	5	4	4	3	4	5	4	3	4	2	5	2	4	4	3	4	4	4	3	4	2	25	1	3
244	3	4	2	3	3	3	2	4	3	3	4	1	3	3	5	2	4	3	4	4	2	25	13	3
246	4	5	4	5	4	5	4	4	4	4	5	4	5	4	5	5	5	4	4	4	2	29	1	3
248	2	5	5	4	2	4	2	5	2	4	3	2	3	2	5	4	4	3	5	3	2	23	1	3
